Date (yyyy),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
2089,1.7127786479625308e-09,2.2561178841187201e-07,8.472178935182425e-09,0.19295700894819945,0.01857204871432898,28.067987175933037,-0.31519779239543005,0.048129054648483605,0.04260763045331789,0.09073668508869294
2090,2.1094044015986294e-09,2.529403920932186e-07,1.1095626460761322e-08,0.1942459672523543,0.019415281603015876,27.80081334976037,-0.31458291329184124,0.05220453879056353,0.04599161680147313,0.0981961556286966
2091,1.5132621396563288e-09,2.137964229290845e-07,7.465522499108508e-09,0.19204771210544302,0.018080418029278848,27.994486111143726,-0.31403744885450574,0.04656897019220055,0.04046815805302056,0.08703712827098582
2092,1.8100823199091998e-09,2.3734279622203313e-07,9.895980951501054e-09,0.1914015988836826,0.018890413514398404,27.585342406533638,-0.31308530476019003,0.04820176574605092,0.042163848947728656,0.09036561473513825
2093,1.7078622281247317e-09,2.3700328127071833e-07,9.385739788800871e-09,0.19320266174792308,0.017840095707778735,27.846410137477978,-0.31193858499078536,0.046152723103807664,0.04016723155680477,0.0863199546500036
2094,2.0360996099662198e-09,2.638976421505124e-07,1.0272293680371504e-08,0.19308798639247016,0.018149684986898822,28.514951231725906,-0.3110978600030542,0.04885825537939836,0.042598484008141146,0.09145673938298932
2095,1.972514454381114e-09,2.5595633837534256e-07,9.903856804788355e-09,0.19140464126488613,0.01835870659519587,28.327483507862137,-0.31016448763217835,0.04983758620979329,0.04316914107597435,0.09300672730399316
2096,1.5602879109590516e-09,2.3122041300040704e-07,9.20809306433644e-09,0.19244831494939554,0.0185853890134493,28.16116986729862,-0.30917456218473915,0.047905004019527485,0.04159827527216945,0.08950327926253815
2097,1.7416840762761285e-09,2.5532132286811726e-07,9.596642503530878e-09,0.19132526110201833,0.017513631052514928,28.33595438361404,-0.3083195283825515,0.04735657337771204,0.04153059438237635,0.08888716775710055
2098,1.7449529745603768e-09,2.3491670784737632e-07,8.105162841684471e-09,0.191045358626916,0.017612832540563114,28.942303015530484,-0.3075147664777094,0.045990311948444905,0.039826201275771266,0.0858165132103388
2099,1.9634376028750483e-09,2.51688186799075e-07,1.074033270317668e-08,0.1921643108542467,0.018491004756548284,28.5411402906318,-0.3061443530983731,0.04831756609386034,0.04224221318569199,0.09055977926892761
2100,1.6758758457003445e-09,2.339489471110113e-07,9.116179562211243e-09,0.19240949701588547,0.017535148714531785,28.67718236469644,-0.3050573901112652,0.0460172317826599,0.04025341242520045,0.08627064420480234
